,Game_Name,Rating,#Reviews,Rabatt%,OrdinariePris,Sale Price,Release_Year,Win,linux,OSX,Date
112,Hunt: Showdown - Collector's Edition ,4,"#120,817",-40%,"16,99€","5,94€             ",,1,0,0,20 Dec 2022
113,Frostpunk: The Last Autumn ,3,"#1,050",-65%,"19,99€","9,99€             ","21 Jan, 2020",1,0,1,20 Dec 2022
114,FINAL FANTASY VIII - REMASTERED ,2,"#2,636",-50%,"44,99€","20,24€            ","3 Sep, 2019",1,0,0,20 Dec 2022
115,The Wonderful 101: Remastered ,4,#411,-55%,"6,59€1",",64€              ","19 May, 2020",1,0,0,20 Dec 2022
116,Orcs Must Die! 3 - Tipping the Scales DLC ,3,#58,-75%,"9,99€6",",99€              ","7 Apr, 2022",1,0,0,20 Dec 2022
117,Hunt: Showdown - Lonely Howl ,4,#129,-30%,"12,99€","5,19€             ","28 Apr, 2022",1,0,0,20 Dec 2022
118,Cities: Skylines - Campus ,3,#225,-60%,"12,99€","6,49€             ","21 May, 2019",1,1,1,20 Dec 2022
119,Cities: Skylines - Green Cities ,4,#431,-50%,"29,99€","8,99€             ","19 Oct, 2017",1,1,1,20 Dec 2022
120,Iron Harvest ,3,"#8,029",-70%,"89,96€","11,95€            ","31 Aug, 2020",1,0,0,20 Dec 2022
121,Shadow of the Tomb Raider: Definitive Edition ,4,"#49,561",-87%,"12,49€","2,49€             ",,1,1,1,20 Dec 2022
122,Orcs Must Die! 2 ,4,"#11,906",-80%,"29,99€","23,99€            ","30 Jul, 2012",1,0,0,20 Dec 2022
123,Floodland ,2,#342,-20%,"21,99€","6,59€             ","15 Nov, 2022",1,0,0,20 Dec 2022
124,Children of Morta ,4,"#11,634",-70%, , ,"3 Sep, 2019",1,1,1,20 Dec 2022
